================ CalculatePixGain PixGain 141 :  : -8.915033e+01 =  0.000000e+00 C2B24CF8 00000000 11000010101100100100110011111000 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 142 :  : -7.800654e+01 =  0.000000e+00 C29C0359 00000000 11000010100111000000001101011001 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 143 :  : -9.725490e+01 =  0.000000e+00 C2C28282 00000000 11000010110000101000001010000010 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 144 :  : -7.598039e+01 =  0.000000e+00 C297F5F6 00000000 11000010100101111111010111110110 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 145 :  : -9.117647e+01 =  0.000000e+00 C2B65A5A 00000000 11000010101101100101101001011010 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 146 :  : -7.901961e+01 =  0.000000e+00 C29E0A0A 00000000 11000010100111100000101000001010 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 147 :  : -9.421568e+01 =  0.000000e+00 C2BC6E6E 00000000 11000010101111000110111001101110 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 148 :  : -7.901961e+01 =  0.000000e+00 C29E0A0A 00000000 11000010100111100000101000001010 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 149 :  : -8.915033e+01 =  0.000000e+00 C2B24CF8 00000000 11000010101100100100110011111000 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 150 :  : -7.699346e+01 =  0.000000e+00 C299FCA7 00000000 11000010100110011111110010100111 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 151 :  : -9.624183e+01 =  0.000000e+00 C2C07BD1 00000000 11000010110000000111101111010001 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 152 :  : -7.496732e+01 =  0.000000e+00 C295EF45 00000000 11000010100101011110111101000101 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 153 :  : -9.117647e+01 =  0.000000e+00 C2B65A5A 00000000 11000010101101100101101001011010 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 154 :  : -7.294118e+01 =  0.000000e+00 C291E1E2 00000000 11000010100100011110000111100010 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 155 :  : -9.522876e+01 =  0.000000e+00 C2BE7520 00000000 11000010101111100111010100100000 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 156 :  : -7.699346e+01 =  0.000000e+00 C299FCA7 00000000 11000010100110011111110010100111 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 157 :  : -9.016340e+01 =  0.000000e+00 C2B453A9 00000000 11000010101101000101001110101001 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 158 :  : -7.192811e+01 =  0.000000e+00 C28FDB31 00000000 11000010100011111101101100110001 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 159 :  : -1.013072e+02 =  0.000000e+00 C2CA9D48 00000000 11000010110010101001110101001000 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 160 :  : -8.611111e+01 =  0.000000e+00 C2AC38E4 00000000 11000010101011000011100011100100 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 161 :  : -9.218954e+01 =  0.000000e+00 C2B8610C 00000000 11000010101110000110000100001100 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 162 :  : -9.421568e+01 =  0.000000e+00 C2BC6E6E 00000000 11000010101111000110111001101110 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 163 :  : -9.117647e+01 =  0.000000e+00 C2B65A5A 00000000 11000010101101100101101001011010 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 164 :  : -8.712418e+01 =  0.000000e+00 C2AE3F95 00000000 11000010101011100011111110010101 00000000000000000000000000000000 ().
================ CalculatePixGain PixGain 165 :  : -9.320261e+01 =  0.000000e+00 C2BA67BD 00000000 11000010101110100110011110111101 00000000000000000000000000000000 ().
